Day,Classroom,Time,Course,Code
Tuesday,F-205,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-205,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-205,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-205,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-206,8:30am-10:30am,Free slot,Free slot
Tuesday,F-206,10:30am-12:00pm,Operating System(BCS-4C),BCS-4C
Tuesday,F-206,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-206,1:30pm-3:00pm,Free slot,Free slot
Tuesday,F-206,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-206,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-206,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-206,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-207,8:30am-10:30am,Free slot,Free slot
Tuesday,F-207,10:30am-12:00pm,Free slot,Free slot
Tuesday,F-207,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-207,1:30pm-3:00pm,Free slot,Free slot
Tuesday,F-207,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-207,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-207,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-207,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-208,8:30am-10:30am,Free slot,Free slot
Tuesday,F-208,10:30am-12:00pm,Free slot,Free slot
Tuesday,F-208,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-208,1:30pm-3:00pm,Free slot,Free slot
Tuesday,F-208,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-208,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-208,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-208,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-209,8:30am-10:30am,Free slot,Free slot
Tuesday,F-209,10:30am-12:00pm,Free slot,Free slot
Tuesday,F-209,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-209,1:30pm-3:00pm,Fundamentals of Management(BDS-4C),BDS-4C
Tuesday,F-209,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-209,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-209,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-209,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-210,8:30am-10:30am,Free slot,Free slot
Tuesday,F-210,10:30am-12:00pm,Free slot,Free slot
Tuesday,F-210,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-210,1:30pm-3:00pm,Free slot,Free slot
Tuesday,F-210,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-210,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-210,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-210,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-301,8:30am-10:30am,Free slot,Free slot
Tuesday,F-301,10:30am-12:00pm,Free slot,Free slot
Tuesday,F-301,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-301,1:30pm-3:00pm,Psycology(BCS-4C),BCS-4C
Tuesday,F-301,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-301,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-301,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-301,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-302,8:30am-10:30am,Psycology(BCS-4D),BCS-4D
Tuesday,F-302,10:30am-12:00pm,Advance Stats(BDS-4B),BDS-4B
Tuesday,F-302,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-302,1:30pm-3:00pm,Free slot,Free slot
Tuesday,F-302,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-302,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-302,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-302,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-303,8:30am-10:30am,Free slot,Free slot
Tuesday,F-303,10:30am-12:00pm,Free slot,Free slot
Tuesday,F-303,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-303,1:30pm-3:00pm,Civics(BDS-4A),BDS-4A
Tuesday,F-303,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-303,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-303,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-303,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-304,8:30am-10:30am,Psycology(BCS-4A),BCS-4A
Tuesday,F-304,10:30am-12:00pm,Free slot,Free slot
Tuesday,F-304,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-304,1:30pm-3:00pm,Fundamentals of Management(BDS-4B),BDS-4B
Tuesday,F-304,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-304,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-304,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-304,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-305,8:30am-10:30am,Free slot,Free slot
Tuesday,F-305,10:30am-12:00pm,Advance Stats(BDS-4C),BDS-4C
Tuesday,F-305,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-305,1:30pm-3:00pm,Free slot,Free slot
Tuesday,F-305,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-305,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-305,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-305,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-306,8:30am-10:30am,Free slot,Free slot
Tuesday,F-306,10:30am-12:00pm,Free slot,Free slot
Tuesday,F-306,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-306,1:30pm-3:00pm,Free slot,Free slot
Tuesday,F-306,3:00pm-4:30pm,Civics(BDS-4C),BDS-4C
Tuesday,F-306,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-306,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-306,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-307,8:30am-10:30am,Free slot,Free slot
Tuesday,F-307,10:30am-12:00pm,Free slot,Free slot
Tuesday,F-307,12:00pm-1:30pm,Probability and Stats(BDS-4A),BDS-4A
Tuesday,F-307,1:30pm-3:00pm,Free slot,Free slot
Tuesday,F-307,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-307,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-307,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-307,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-308,8:30am-10:30am,Free slot,Free slot
Tuesday,F-308,10:30am-12:00pm,Free slot,Free slot
Tuesday,F-308,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-308,1:30pm-3:00pm,Free slot,Free slot
Tuesday,F-308,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-308,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-308,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-308,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-309,8:30am-10:30am,Free slot,Free slot
Tuesday,F-309,10:30am-12:00pm,Free slot,Free slot
Tuesday,F-309,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-309,1:30pm-3:00pm,Free slot,Free slot
Tuesday,F-309,3:00pm-4:30pm,Free slot,Free slot
Tuesday,F-309,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-309,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-309,7:30pm-9:00pm,Free slot,Free slot
Tuesday,F-310,8:30am-10:30am,Free slot,Free slot
Tuesday,F-310,10:30am-12:00pm,Free slot,Free slot
Tuesday,F-310,12:00pm-1:30pm,Free slot,Free slot
Tuesday,F-310,1:30pm-3:00pm,Free slot,Free slot
Tuesday,F-310,3:00pm-4:30pm,Fundamentals of SE(BDS-4A),BDS-4A
Tuesday,F-310,4:30pm-6:00pm,Free slot,Free slot
Tuesday,F-310,6:00pm-7:30pm,Free slot,Free slot
Tuesday,F-310,7:30pm-9:00pm,Free slot,Free slot
Tuesday,C-1,8:30am-10:30am,Expository Writing(BDS-2A),BDS-2A
Tuesday,C-1,10:30am-12:00pm,Free slot,Free slot
Tuesday,C-1,12:00pm-1:30pm,Free slot,Free slot
Tuesday,C-1,1:30pm-3:00pm,Free slot,Free slot
Tuesday,C-1,3:00pm-4:30pm,Expository Writing(BCS-2A),BCS-2A
Tuesday,C-1,4:30pm-6:00pm,Free slot,Free slot
Tuesday,C-1,6:00pm-7:30pm,Free slot,Free slot
Tuesday,C-1,7:30pm-9:00pm,Free slot,Free slot
Tuesday,C-2,8:30am-10:30am,Islamiat(BDS-2C),BDS-2C
Tuesday,C-2,10:30am-12:00pm,Islamiat(BCS-2A),BCS-2A
Tuesday,C-2,12:00pm-1:30pm,Free slot,Free slot
Tuesday,C-2,1:30pm-3:00pm,Expository Writing(BCS-2C),BCS-2C
Tuesday,C-2,3:00pm-4:30pm,Free slot,Free slot
Tuesday,C-2,4:30pm-6:00pm,Free slot,Free slot
Tuesday,C-2,6:00pm-7:30pm,Free slot,Free slot
Tuesday,C-2,7:30pm-9:00pm,Free slot,Free slot
Tuesday,C-3,8:30am-10:30am,Expository Writing(BCS-2B),BCS-2B
Tuesday,C-3,10:30am-12:00pm,Free slot,Free slot
Tuesday,C-3,12:00pm-1:30pm,Free slot,Free slot
Tuesday,C-3,1:30pm-3:00pm,Free slot,Free slot
Tuesday,C-3,3:00pm-4:30pm,Free slot,Free slot
Tuesday,C-3,4:30pm-6:00pm,Free slot,Free slot
Tuesday,C-3,6:00pm-7:30pm,Free slot,Free slot
Tuesday,C-3,7:30pm-9:00pm,Free slot,Free slot
Tuesday,C-4,8:30am-10:30am,Free slot,Free slot
Tuesday,C-4,10:30am-12:00pm,Islamiat(BCS-2C),BCS-2C
Tuesday,C-4,12:00pm-1:30pm,Free slot,Free slot
Tuesday,C-4,1:30pm-3:00pm,Free slot,Free slot
Tuesday,C-4,3:00pm-4:30pm,Free slot,Free slot
Tuesday,C-4,4:30pm-6:00pm,Free slot,Free slot
Tuesday,C-4,6:00pm-7:30pm,Free slot,Free slot
Tuesday,C-4,7:30pm-9:00pm,Free slot,Free slot
Tuesday,C-5,8:30am-10:30am,Expository Writing(BCS-2D),BCS-2D
Tuesday,C-5,10:30am-12:00pm,Islamiat(BDS-2A),BDS-2A
Tuesday,C-5,12:00pm-1:30pm,Free slot,Free slot
Tuesday,C-5,1:30pm-3:00pm,Free slot,Free slot
Tuesday,C-5,3:00pm-4:30pm,Free slot,Free slot
Tuesday,C-5,4:30pm-6:00pm,Free slot,Free slot
Tuesday,C-5,6:00pm-7:30pm,Free slot,Free slot
Tuesday,C-5,7:30pm-9:00pm,Free slot,Free slot
Tuesday,C-6,8:30am-10:30am,Free slot,Free slot
Tuesday,C-6,10:30am-12:00pm,Islamiat(BCS-2B),BCS-2B
Tuesday,C-6,12:00pm-1:30pm,Islamiat(BCS-2E),BCS-2E
Tuesday,C-6,1:30pm-3:00pm,Free slot,Free slot
Tuesday,C-6,3:00pm-4:30pm,Free slot,Free slot
Tuesday,C-6,4:30pm-6:00pm,Free slot,Free slot
Tuesday,C-6,6:00pm-7:30pm,Free slot,Free slot
Tuesday,C-6,7:30pm-9:00pm,Free slot,Free slot
Tuesday,C-7,8:30am-10:30am,Expository Writing(BCS-2E),BCS-2E
Tuesday,C-7,10:30am-12:00pm,Free slot,Free slot
Tuesday,C-7,12:00pm-1:30pm,Free slot,Free slot
Tuesday,C-7,1:30pm-3:00pm,Islamiat(BDS-2B),BDS-2B
Tuesday,C-7,3:00pm-4:30pm,Free slot,Free slot
Tuesday,C-7,4:30pm-6:00pm,Free slot,Free slot
Tuesday,C-7,6:00pm-7:30pm,Free slot,Free slot
Tuesday,C-7,7:30pm-9:00pm,Free slot,Free slot
Tuesday,C-13,8:30am-10:30am,Free slot,Free slot
Tuesday,C-13,10:30am-12:00pm,Islamiat(BCS-2D),BCS-2D
Tuesday,C-13,12:00pm-1:30pm,Free slot,Free slot
Tuesday,C-13,1:30pm-3:00pm,Free slot,Free slot
Tuesday,C-13,3:00pm-4:30pm,Free slot,Free slot
Tuesday,C-13,4:30pm-6:00pm,Free slot,Free slot
Tuesday,C-13,6:00pm-7:30pm,Free slot,Free slot
Tuesday,C-13,7:30pm-9:00pm,Free slot,Free slot
Tuesday,C-14,8:30am-10:30am,Free slot,Free slot
Tuesday,C-14,10:30am-12:00pm,Free slot,Free slot
Tuesday,C-14,12:00pm-1:30pm,Free slot,Free slot
Tuesday,C-14,1:30pm-3:00pm,Free slot,Free slot
Tuesday,C-14,3:00pm-4:30pm,Free slot,Free slot
Tuesday,C-14,4:30pm-6:00pm,Free slot,Free slot
Tuesday,C-14,6:00pm-7:30pm,Free slot,Free slot
Tuesday,C-14,7:30pm-9:00pm,Free slot,Free slot
Tuesday,D-1,8:30am-10:30am,Free slot,Free slot
Tuesday,D-1,10:30am-12:00pm,Free slot,Free slot
Tuesday,D-1,12:00pm-1:30pm,Free slot,Free slot
Tuesday,D-1,1:30pm-3:00pm,Free slot,Free slot
Tuesday,D-1,3:00pm-4:30pm,Free slot,Free slot
Tuesday,D-1,4:30pm-6:00pm,Free slot,Free slot
Tuesday,D-1,6:00pm-7:30pm,Free slot,Free slot
Tuesday,D-1,7:30pm-9:00pm,Free slot,Free slot
Tuesday,D-2,8:30am-10:30am,Free slot,Free slot
Tuesday,D-2,10:30am-12:00pm,Free slot,Free slot
Tuesday,D-2,12:00pm-1:30pm,Free slot,Free slot
Tuesday,D-2,1:30pm-3:00pm,Free slot,Free slot
Tuesday,D-2,3:00pm-4:30pm,Free slot,Free slot
Tuesday,D-2,4:30pm-6:00pm,Free slot,Free slot
Tuesday,D-2,6:00pm-7:30pm,Free slot,Free slot
Tuesday,D-2,7:30pm-9:00pm,Free slot,Free slot
Tuesday,English Lab-1,8:30am-10:30am,Free slot,Free slot
Tuesday,English Lab-1,10:30am-12:00pm,Free slot,Free slot
Tuesday,English Lab-1,12:00pm-1:30pm,Free slot,Free slot
Tuesday,English Lab-1,1:30pm-3:00pm,Expository Lab(BCS-2A),BCS-2A
Tuesday,English Lab-1,3:00pm-4:30pm,Free slot,Free slot
Tuesday,English Lab-1,4:30pm-6:00pm,Free slot,Free slot
Tuesday,English Lab-1,6:00pm-7:30pm,Free slot,Free slot
Tuesday,English Lab-1,7:30pm-9:00pm,Free slot,Free slot
Tuesday,English Lab-2,8:30am-10:30am,Free slot,Free slot
Tuesday,English Lab-2,10:30am-12:00pm,Free slot,Free slot
Tuesday,English Lab-2,12:00pm-1:30pm,Free slot,Free slot
Tuesday,English Lab-2,1:30pm-3:00pm,Free slot,Free slot
Tuesday,English Lab-2,3:00pm-4:30pm,Expository Lab(BDS-2A),BDS-2A
Tuesday,English Lab-2,4:30pm-6:00pm,Free slot,Free slot
Tuesday,English Lab-2,6:00pm-7:30pm,Free slot,Free slot
Tuesday,English Lab-2,7:30pm-9:00pm,Free slot,Free slot
Tuesday,English Lab-3,8:30am-10:30am,Free slot,Free slot
Tuesday,English Lab-3,10:30am-12:00pm,Expository Lab(BDS-2B),BDS-2B
Tuesday,English Lab-3,12:00pm-1:30pm,Technical and Business Writing(BCS-4D),BCS-4D
Tuesday,English Lab-3,1:30pm-3:00pm,Expository Writing Lab(BCS-2E),BCS-2E
Tuesday,English Lab-3,3:00pm-4:30pm,Free slot,Free slot
Tuesday,English Lab-3,4:30pm-6:00pm,Free slot,Free slot
Tuesday,English Lab-3,6:00pm-7:30pm,Free slot,Free slot
Tuesday,English Lab-3,7:30pm-9:00pm,Free slot,Free slot
Tuesday,English Lab-4,8:30am-10:30am,Expository Writing Lab(BCS-2C),BCS-2C
Tuesday,English Lab-4,10:30am-12:00pm,Free slot,Free slot
Tuesday,English Lab-4,12:00pm-1:30pm,Expository Writing Lab(BCS-2D),BCS-2D
Tuesday,English Lab-4,1:30pm-3:00pm,Expository Lab(BDS-2C),BDS-2C
Tuesday,English Lab-4,3:00pm-4:30pm,Free slot,Free slot
Tuesday,English Lab-4,4:30pm-6:00pm,Free slot,Free slot
Tuesday,English Lab-4,6:00pm-7:30pm,Free slot,Free slot
Tuesday,English Lab-4,7:30pm-9:00pm,Free slot,Free slot
Tuesday,English Lab-5,8:30am-10:30am,Technical and Business Writing(BCS-4E),BCS-4E
Tuesday,English Lab-5,10:30am-12:00pm,Free slot,Free slot
Tuesday,English Lab-5,12:00pm-1:30pm,Free slot,Free slot
Tuesday,English Lab-5,1:30pm-3:00pm,Free slot,Free slot
Tuesday,English Lab-5,3:00pm-4:30pm,Free slot,Free slot
Tuesday,English Lab-5,4:30pm-6:00pm,Free slot,Free slot
Tuesday,English Lab-5,6:00pm-7:30pm,Free slot,Free slot
Tuesday,English Lab-5,7:30pm-9:00pm,Free slot,Free slot
Tuesday,English Lab-6,8:30am-10:30am,Free slot,Free slot
Tuesday,English Lab-6,10:30am-12:00pm,Free slot,Free slot
Tuesday,English Lab-6,12:00pm-1:30pm,Free slot,Free slot
Tuesday,English Lab-6,1:30pm-3:00pm,Expository Writing Lab(BCS-2B),BCS-2B
Tuesday,English Lab-6,3:00pm-4:30pm,Free slot,Free slot
Tuesday,English Lab-6,4:30pm-6:00pm,Free slot,Free slot
Tuesday,English Lab-6,6:00pm-7:30pm,Free slot,Free slot
Tuesday,English Lab-6,7:30pm-9:00pm,Free slot,Free slot
Tuesday,Lab-1,8:30am-10:30am,Free slot,Free slot
Tuesday,Lab-1,10:30am-12:00pm,Free slot,Free slot
Tuesday,Lab-1,12:00pm-1:30pm,Free slot,Free slot
Tuesday,Lab-1,1:30pm-3:00pm,Free slot,Free slot
Tuesday,Lab-1,3:00pm-4:30pm,Free slot,Free slot
Tuesday,Lab-1,4:30pm-6:00pm,Free slot,Free slot
Tuesday,Lab-1,6:00pm-7:30pm,Free slot,Free slot
Tuesday,Lab-1,7:30pm-9:00pm,Free slot,Free slot
Tuesday,Lab-2,8:30am-10:30am,Free slot,Free slot
Tuesday,Lab-2,10:30am-12:00pm,Free slot,Free slot
Tuesday,Lab-2,12:00pm-1:30pm,Free slot,Free slot
Tuesday,Lab-2,1:30pm-3:00pm,Free slot,Free slot
Tuesday,Lab-2,3:00pm-4:30pm,Free slot,Free slot
Tuesday,Lab-2,4:30pm-6:00pm,Free slot,Free slot
Tuesday,Lab-2,6:00pm-7:30pm,Free slot,Free slot
Tuesday,Lab-2,7:30pm-9:00pm,Free slot,Free slot
Tuesday,Lab-3,8:30am-10:30am,Free slot,Free slot
Tuesday,Lab-3,10:30am-12:00pm,Free slot,Free slot
Tuesday,Lab-3,12:00pm-1:30pm,Free slot,Free slot
Tuesday,Lab-3,1:30pm-3:00pm,Free slot,Free slot
Tuesday,Lab-3,3:00pm-4:30pm,Free slot,Free slot
Tuesday,Lab-3,4:30pm-6:00pm,Free slot,Free slot
Tuesday,Lab-3,6:00pm-7:30pm,Free slot,Free slot
Tuesday,Lab-3,7:30pm-9:00pm,Free slot,Free slot
Tuesday,Lab-4,8:30am-10:30am,Free slot,Free slot
Tuesday,Lab-4,10:30am-12:00pm,Free slot,Free slot
Tuesday,Lab-4,12:00pm-1:30pm,Free slot,Free slot
Tuesday,Lab-4,1:30pm-3:00pm,Free slot,Free slot
Tuesday,Lab-4,3:00pm-4:30pm,Free slot,Free slot
Tuesday,Lab-4,4:30pm-6:00pm,Free slot,Free slot
Tuesday,Lab-4,6:00pm-7:30pm,Free slot,Free slot
Tuesday,Lab-4,7:30pm-9:00pm,Free slot,Free slot
Tuesday,Lab-5,8:30am-10:30am,Free slot,Free slot
Tuesday,Lab-5,10:30am-12:00pm,Free slot,Free slot
Tuesday,Lab-5,12:00pm-1:30pm,Free slot,Free slot
Tuesday,Lab-5,1:30pm-3:00pm,Free slot,Free slot
Tuesday,Lab-5,3:00pm-4:30pm,Free slot,Free slot
Tuesday,Lab-5,4:30pm-6:00pm,Free slot,Free slot
Tuesday,Lab-5,6:00pm-7:30pm,Free slot,Free slot
Tuesday,Lab-5,7:30pm-9:00pm,Free slot,Free slot
Tuesday,Lab-6,8:30am-10:30am,Free slot,Free slot
Tuesday,Lab-6,10:30am-12:00pm,Free slot,Free slot
Tuesday,Lab-6,12:00pm-1:30pm,Free slot,Free slot
Tuesday,Lab-6,1:30pm-3:00pm,Free slot,Free slot
Tuesday,Lab-6,3:00pm-4:30pm,Free slot,Free slot
Tuesday,Lab-6,4:30pm-6:00pm,Free slot,Free slot
Tuesday,Lab-6,6:00pm-7:30pm,Free slot,Free slot
Tuesday,Lab-6,7:30pm-9:00pm,Free slot,Free slot
Tuesday,Lab-8,8:30am-10:30am,Free slot,Free slot
Tuesday,Lab-8,10:30am-12:00pm,Free slot,Free slot
Tuesday,Lab-8,12:00pm-1:30pm,Free slot,Free slot
Tuesday,Lab-8,1:30pm-3:00pm,Free slot,Free slot
Tuesday,Lab-8,3:00pm-4:30pm,Free slot,Free slot
Tuesday,Lab-8,4:30pm-6:00pm,Free slot,Free slot
Tuesday,Lab-8,6:00pm-7:30pm,Free slot,Free slot
Tuesday,Lab-8,7:30pm-9:00pm,Free slot,Free slot
Tuesday,Lab-13,8:30am-10:30am,Free slot,Free slot
Tuesday,Lab-13,10:30am-12:00pm,Free slot,Free slot
Tuesday,Lab-13,12:00pm-1:30pm,Free slot,Free slot
Tuesday,Lab-13,1:30pm-3:00pm,Free slot,Free slot
Tuesday,Lab-13,3:00pm-4:30pm,Free slot,Free slot
Tuesday,Lab-13,4:30pm-6:00pm,Free slot,Free slot
Tuesday,Lab-13,6:00pm-7:30pm,Free slot,Free slot
Tuesday,Lab-13,7:30pm-9:00pm,Free slot,Free slot
Tuesday,Lab-14,8:30am-10:30am,Free slot,Free slot
Tuesday,Lab-14,10:30am-12:00pm,Free slot,Free slot
Tuesday,Lab-14,12:00pm-1:30pm,Free slot,Free slot
Tuesday,Lab-14,1:30pm-3:00pm,Free slot,Free slot
Tuesday,Lab-14,3:00pm-4:30pm,Free slot,Free slot
Tuesday,Lab-14,4:30pm-6:00pm,Free slot,Free slot
Tuesday,Lab-14,6:00pm-7:30pm,Free slot,Free slot
Tuesday,Lab-14,7:30pm-9:00pm,Free slot,Free slot
Tuesday,Lab-15,8:30am-10:30am,Free slot,Free slot
Tuesday,Lab-15,10:30am-12:00pm,Free slot,Free slot
Tuesday,Lab-15,12:00pm-1:30pm,Free slot,Free slot
Tuesday,Lab-15,1:30pm-3:00pm,Free slot,Free slot
Tuesday,Lab-15,3:00pm-4:30pm,Free slot,Free slot
Tuesday,Lab-15,4:30pm-6:00pm,Free slot,Free slot
Tuesday,Lab-15,6:00pm-7:30pm,Free slot,Free slot
Tuesday,Lab-15,7:30pm-9:00pm,Free slot,Free slot
Tuesday,Lab-16,8:30am-10:30am,Free slot,Free slot
Tuesday,Lab-16,10:30am-12:00pm,Free slot,Free slot
Tuesday,Lab-16,12:00pm-1:30pm,Free slot,Free slot
Tuesday,Lab-16,1:30pm-3:00pm,Free slot,Free slot
Tuesday,Lab-16,3:00pm-4:30pm,Free slot,Free slot
Tuesday,Lab-16,4:30pm-6:00pm,Free slot,Free slot
Tuesday,Lab-16,6:00pm-7:30pm,Free slot,Free slot
Tuesday,Lab-16,7:30pm-9:00pm,Free slot,Free slot
Tuesday,Micro Lab,8:30am-10:30am,Free slot,Free slot
Tuesday,Micro Lab,10:30am-12:00pm,Free slot,Free slot
Tuesday,Micro Lab,12:00pm-1:30pm,Free slot,Free slot
Tuesday,Micro Lab,1:30pm-3:00pm,Free slot,Free slot
Tuesday,Micro Lab,3:00pm-4:30pm,Free slot,Free slot
Tuesday,Micro Lab,4:30pm-6:00pm,Free slot,Free slot
Tuesday,Micro Lab,6:00pm-7:30pm,Free slot,Free slot
Tuesday,Micro Lab,7:30pm-9:00pm,Free slot,Free slot
Tuesday,Physics Lab,8:30am-10:30am,Free slot,Free slot
Tuesday,Physics Lab,10:30am-12:00pm,Free slot,Free slot
Tuesday,Physics Lab,12:00pm-1:30pm,Free slot,Free slot
Tuesday,Physics Lab,1:30pm-3:00pm,Free slot,Free slot
Tuesday,Physics Lab,3:00pm-4:30pm,Free slot,Free slot
Tuesday,Physics Lab,4:30pm-6:00pm,Free slot,Free slot
Tuesday,Physics Lab,6:00pm-7:30pm,Free slot,Free slot
Tuesday,Physics Lab,7:30pm-9:00pm,Free slot,Free slot
Wednesday,F-201,8:30am-10:30am,Data Structures(BDS-4A),BDS-4A
Wednesday,F-201,10:30am-12:00pm,COAL(BDS-4A),BDS-4A
Wednesday,F-201,12:00pm-1:30pm,Free slot,Free slot
Wednesday,F-201,1:30pm-3:00pm,Free slot,Free slot
Wednesday,F-201,3:00pm-4:30pm,Multivariable Calculus(BCS-4D),BCS-4D
Wednesday,F-201,4:30pm-6:00pm,Free slot,Free slot
Wednesday,F-201,6:00pm-7:30pm,Free slot,Free slot
Wednesday,F-201,7:30pm-9:00pm,Free slot,Free slot
Wednesday,F-202,8:30am-10:30am,Probability and Stats(BDS-4D),BCS-4D
Wednesday,F-202,10:30am-12:00pm,Object Oriented Programming(BDS-2B) ,BDS-2B
Wednesday,F-202,12:00pm-1:30pm,Free slot,Free slot
Wednesday,F-202,1:30pm-3:00pm,Free slot,Free slot
Wednesday,F-202,3:00pm-4:30pm,Free slot,Free slot
Wednesday,F-202,4:30pm-6:00pm,Free slot,Free slot
Wednesday,F-202,6:00pm-7:30pm,Free slot,Free slot
Wednesday,F-202,7:30pm-9:00pm,Free slot,Free slot
Wednesday,F-203,8:30am-10:30am,Multivariable Calculus(BCS-2C),BCS-2C
Wednesday,F-203,10:30am-12:00pm,Digital Logic Design(BCS-2D),BCS-2D
Wednesday,F-203,12:00pm-1:30pm,Free slot,Free slot
Wednesday,F-203,1:30pm-3:00pm,Free slot,Free slot
Wednesday,F-203,3:00pm-4:30pm,Free slot,Free slot
Wednesday,F-203,4:30pm-6:00pm,Free slot,Free slot
Wednesday,F-203,6:00pm-7:30pm,Free slot,Free slot
Wednesday,F-203,7:30pm-9:00pm,Free slot,Free slot
Wednesday,F-204,8:30am-10:30am,Free slot,Free slot
Wednesday,F-204,10:30am-12:00pm,Data Structures(BDS-4C),BDS-4C
Wednesday,F-204,12:00pm-1:30pm,Free slot,Free slot
Wednesday,F-204,1:30pm-3:00pm,Database Systems(BCS-4C),BCS-4C
Wednesday,F-204,3:00pm-4:30pm,Free slot,Free slot
Wednesday,F-204,4:30pm-6:00pm,Free slot,Free slot
Wednesday,F-204,6:00pm-7:30pm,Object Oriented Programming(BCS-2C),BCS-2C
Wednesday,F-204,7:30pm-9:00pm,Free slot,Free slot
Wednesday,F-205,8:30am-10:30am,Free slot,Free slot
Wednesday,F-205,10:30am-12:00pm,Multivariable Calculus(BCS-2B),BCS-2B
Wednesday,F-205,12:00pm-1:30pm,Free slot,Free slot
Wednesday,F-205,1:30pm-3:00pm,Free slot,Free slot
Wednesday,F-205,3:00pm-4:30pm,COAL(BDS-4C),BDS-4C
Wednesday,F-205,4:30pm-6:00pm,Free slot,Free slot
Wednesday,F-205,6:00pm-7:30pm,Free slot,Free slot
Wednesday,F-205,7:30pm-9:00pm,Free slot,Free slot
Wednesday,F-206,8:30am-10:30am,Object Oriented Programming(BDS-2A) ,BDS-2A
Wednesday,F-206,10:30am-12:00pm,Digital Logic Design(BCS-2A),BCS-2A
Wednesday,F-206,12:00pm-1:30pm,Free slot,Free slot
Wednesday,F-206,1:30pm-3:00pm,Free slot,Free slot
Wednesday,F-206,3:00pm-4:30pm,Free slot,Free slot
Wednesday,F-206,4:30pm-6:00pm,Free slot,Free slot
Wednesday,F-206,6:00pm-7:30pm,Free slot,Free slot
Wednesday,F-206,7:30pm-9:00pm,Free slot,Free slot
